,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN,RN_CD,LAT,LNG,분류,밝기
287,11680,13,132,테헤란로,3122010,37.50920574652172,127.06428144243894,도로,0
288,11680,13,133,테헤란로,3122010,37.50925239410639,127.06442832265785,도로,0
289,11680,13,134,테헤란로,3122010,37.50930777516833,127.06460333905422,도로,0
290,11680,13,135,테헤란로,3122010,37.5093190188503,127.06463850084938,도로,0
291,11680,13,136,테헤란로,3122010,37.50938645433457,127.0648482729291,도로,0
292,11680,13,137,테헤란로,3122010,37.509386481328036,127.06484834081358,도로,0
293,11680,13,138,테헤란로,3122010,37.50942555499899,127.06497067199528,도로,0
294,11680,13,139,테헤란로,3122010,37.50945365512521,127.06505815829009,도로,0
295,11680,13,140,테헤란로,3122010,37.50952081047976,127.06526806660924,도로,0
296,11680,13,141,테헤란로,3122010,37.50952084645863,127.06526817974287,도로,0
297,11680,13,142,테헤란로,3122010,37.509543045365,127.0653380058438,도로,0
298,11680,13,143,테헤란로,3122010,37.50958801052234,127.0654779527218,도로,0
299,11680,13,144,테헤란로,3122010,37.50958802851167,127.06547800928877,도로,0
300,11680,13,145,테헤란로,3122010,37.5096607959236,127.06570525058346,도로,0
301,11680,13,146,테헤란로,3122010,37.509660822910476,127.06570532977884,도로,0
302,11680,13,147,테헤란로,3122010,37.50977832009411,127.0660724849712,도로,0
303,11680,13,148,테헤란로,3122010,37.50977834706839,127.06607258678748,도로,0
304,11680,13,149,테헤란로,3122010,37.509890616943295,127.06642403982298,도로,0
305,11680,13,150,테헤란로,3122010,37.50989187617592,127.06642797691885,도로,0
306,11680,13,151,테헤란로,3122010,37.50994748988811,127.06666590475996,도로,0
307,11680,13,152,테헤란로,3122010,37.50994749887938,127.06666593869889,도로,0
308,11680,13,153,테헤란로,3122010,37.50999015296225,127.06690894525782,도로,0
309,11680,13,154,테헤란로,3122010,37.51003253623938,127.06715196316635,도로,0
310,11680,13,155,테헤란로,3122010,37.51003254521797,127.06715201972612,도로,0
311,11680,13,156,테헤란로,3122010,37.5100695746706,127.0673813928768,도로,0
312,11680,52,0,강남대로110길,4166005,37.50390570629146,127.0247622092112,도로,0
313,11680,52,1,강남대로110길,4166005,37.50414605102147,127.02555521507652,도로,60
314,11680,52,2,강남대로110길,4166005,37.50399697546124,127.02562603244031,도로,80
315,11680,52,3,강남대로110길,4166005,37.503865309335254,127.02633792018119,도로,60
316,11680,52,4,강남대로110길,4166005,37.503814200395716,127.02661426087141,도로,100
317,11680,52,5,강남대로110길,4166005,37.50373116729259,127.02706317232784,도로,60
318,11680,52,6,강남대로110길,4166005,37.50386869731706,127.0275098860588,도로,60
319,11680,52,7,강남대로110길,4166005,37.504115787926935,127.0283124705757,도로,60
320,11680,52,8,강남대로110길,4166005,37.50395821857647,127.02860131460224,도로,40
321,11680,52,9,강남대로110길,4166005,37.503643753790655,127.0291777326071,도로,40
322,11680,52,10,강남대로110길,4166005,37.503498513314156,127.0294439701066,도로,20
323,11680,52,11,강남대로110길,4166005,37.50327536479533,127.02985299193074,도로,80
324,11680,52,12,강남대로110길,4166005,37.50295609840562,127.03043819623356,도로,60
325,11680,52,13,강남대로110길,4166005,37.50298918541653,127.03072162057848,도로,60
326,11680,52,14,강남대로110길,4166005,37.503033609048174,127.03110218544676,도로,40
327,11680,52,15,강남대로110길,4166005,37.503056229476,127.03129596845017,도로,40
328,11680,52,16,강남대로110길,4166005,37.503106719710296,127.03172852546852,도로,20
329,11680,53,0,강남대로106길,4166004,37.50259686627172,127.02537440354595,도로,0
330,11680,53,1,강남대로106길,4166004,37.502841449082155,127.02617491960541,도로,60
331,11680,53,2,강남대로106길,4166004,37.50301270964507,127.02673543212374,도로,100
332,11680,53,3,강남대로106길,4166004,37.503112190988325,127.02706103885036,도로,80
333,11680,53,4,강남대로106길,4166004,37.5031931241506,127.02732592013159,도로,20
334,11680,53,5,강남대로106길,4166004,37.50333094954667,127.02777703058763,도로,80
335,11680,53,6,강남대로106길,4166004,37.50345012732482,127.02816712189686,도로,40
336,11680,53,7,강남대로106길,4166004,37.50345033439874,127.02816781184325,도로,40
337,11680,54,0,강남대로102길,4166003,37.50105916063711,127.02611438434687,도로,20
338,11680,54,1,강남대로102길,4166003,37.50173813808296,127.02669898386995,도로,60
339,11680,54,2,강남대로102길,4166003,37.50204849280824,127.0269661996,도로,60
340,11680,54,3,강남대로102길,4166003,37.50221332683842,127.02710812950896,도로,80
341,11680,54,4,강남대로102길,4166003,37.50272932162395,127.02755240980473,도로,100
342,11680,54,5,강남대로102길,4166003,37.503449938036105,127.02816747242069,도로,40
343,11680,54,6,강남대로102길,4166003,37.50345033439874,127.02816781184325,도로,40
344,11680,54,7,강남대로102길,4166003,37.50395821857647,127.02860131460224,도로,40
345,11680,55,0,강남대로98길,4166039,37.50036295147544,127.02645109408468,도로,0
346,11680,55,1,강남대로98길,4166039,37.50060303368364,127.0272397590849,도로,40
347,11680,55,2,강남대로98길,4166039,37.50075119504085,127.02772648070405,도로,40
348,11680,55,3,강남대로98길,4166039,37.50079876002991,127.02788273103495,도로,60
349,11680,55,4,강남대로98길,4166039,37.500989008899886,127.02850775695431,도로,40
350,11680,55,5,강남대로98길,4166039,37.500995028798535,127.02858115466246,도로,60
351,11680,55,6,강남대로98길,4166039,37.500985641706926,127.02865398135559,도로,60
352,11680,55,7,강남대로98길,4166039,37.50096156954477,127.02872137437453,도로,80
353,11680,55,8,강남대로98길,4166039,37.5009244352146,127.02877858449098,도로,80
354,11680,55,9,강남대로98길,4166039,37.50087676241572,127.02882176754845,도로,80
355,11680,55,10,강남대로98길,4166039,37.500787192655366,127.02886715183284,도로,100
356,11680,56,0,강남대로96길,4166038,37.499507096652025,127.02685625246008,도로,0
357,11680,56,1,강남대로96길,4166038,37.49974694133835,127.0276476011738,도로,60
358,11680,56,2,강남대로96길,4166038,37.49986628998051,127.02804138299332,도로,60
359,11680,56,3,강남대로96길,4166038,37.50011405845285,127.02885892224741,도로,60
360,11680,57,0,강남대로94길,4166037,37.49926431529261,127.02787752101645,도로,80
361,11680,57,1,강남대로94길,4166037,37.49972224652824,127.02937571723741,도로,80
362,11680,57,2,강남대로94길,4166037,37.49982210781679,127.02970243289336,도로,60
363,11680,57,3,강남대로94길,4166037,37.500077230739386,127.03053718080484,도로,40
364,11680,57,4,강남대로94길,4166037,37.50034222353847,127.03140423660507,도로,20
365,11680,57,5,강남대로94길,4166037,37.500449614254755,127.03175561418101,도로,60
366,11680,57,6,강남대로94길,4166037,37.500468609402304,127.03181776447028,도로,60
367,11680,57,7,강남대로94길,4166037,37.5006085603091,127.03227570957851,도로,60
368,11680,57,8,강남대로94길,4166037,37.50075662032665,127.03272645594863,도로,60
369,11680,57,9,강남대로94길,4166037,37.50077958631191,127.0327963663597,도로,60
370,11680,57,10,강남대로94길,4166037,37.50073002726205,127.03304913532072,도로,60
371,11680,57,11,강남대로94길,4166037,37.500672329487536,127.03334341573203,도로,20
372,11680,57,12,강남대로94길,4166037,37.500622336194695,127.03359836641405,도로,40
373,11680,57,13,강남대로94길,4166037,37.500774064503105,127.03409174063974,도로,80
374,11680,57,14,강남대로94길,4166037,37.500859690389454,127.0343701714815,도로,180
375,11680,57,15,강남대로94길,4166037,37.500901116809956,127.03450486858284,도로,140
376,11680,57,16,강남대로94길,4166037,37.50099493330713,127.03480992543469,도로,100
377,11680,57,17,강남대로94길,4166037,37.50112970650081,127.0352481540421,도로,80
378,11680,58,0,강남대로92길,4166036,37.49852486350407,127.02735630561449,도로,0
379,11680,58,1,강남대로92길,4166036,37.49875820621008,127.02811862517099,도로,20
380,11680,58,2,강남대로92길,4166036,37.49920364776728,127.02957393659928,도로,20
381,11680,58,3,강남대로92길,4166036,37.499208961302465,127.02962176329464,도로,20
382,11680,58,4,강남대로92길,4166036,37.49921404107608,127.02966741862879,도로,40
383,11680,58,5,강남대로92길,4166036,37.49955702254497,127.03078690404308,도로,0
384,11680,59,0,강남대로84길,4166035,37.49630663488549,127.02838744754702,도로,0
385,11680,59,1,강남대로84길,4166035,37.49660958044925,127.02938749772541,도로,60
386,11680,59,2,강남대로84길,4166035,37.496855755175645,127.03020015400531,도로,60
387,11680,59,3,강남대로84길,4166035,37.496982144415895,127.03061740370102,도로,100
388,11680,59,4,강남대로84길,4166035,37.49709548745364,127.03099158715835,도로,100
389,11680,59,5,강남대로84길,4166035,37.49735167975781,127.031837369215,도로,60
390,11680,60,0,강남대로78길,4166034,37.4946755526608,127.02918099482928,도로,20
391,11680,60,1,강남대로78길,4166034,37.49497545874183,127.03016655091386,도로,80
392,11680,60,2,강남대로78길,4166034,37.4952214850479,127.03097508712388,도로,40
393,11680,60,3,강남대로78길,4166034,37.49545977273071,127.03175821602163,도로,40
394,11680,60,4,강남대로78길,4166034,37.495467424784906,127.03178336851414,도로,40
395,11680,60,5,강남대로78길,4166034,37.49557692060947,127.03214321710905,도로,40
396,11680,60,6,강남대로78길,4166034,37.49571976855743,127.03261270246384,도로,40
397,11680,61,0,강남대로66길,4166033,37.49155464655024,127.03066329873596,도로,20
398,11680,61,1,강남대로66길,4166033,37.49185660161008,127.03165713167131,도로,80
399,11680,61,2,강남대로66길,4166033,37.49209965579308,127.0324571458497,도로,40
400,11680,61,3,강남대로66길,4166033,37.492346107327094,127.03326832736494,도로,40
401,11680,61,4,강남대로66길,4166033,37.49246157582829,127.03364840654885,도로,40
402,11680,61,5,강남대로66길,4166033,37.49259952969837,127.03410247197685,도로,0
403,11680,62,0,강남대로62길,4166032,37.49008577758296,127.03136684958538,도로,0
404,11680,62,1,강남대로62길,4166032,37.490420826475116,127.03247578908986,도로,40
405,11680,62,2,강남대로62길,4166032,37.49062674070343,127.03315734057672,도로,80
406,11680,62,3,강남대로62길,4166032,37.49087190798486,127.03396884712936,도로,80
407,11680,62,4,강남대로62길,4166032,37.490928403236865,127.03415586373622,도로,60
408,11680,62,5,강남대로62길,4166032,37.4910310679367,127.03449567670143,도로,40
409,11680,62,6,강남대로62길,4166032,37.491125999274274,127.03480992083162,도로,40
410,11680,87,0,논현로105길,4166109,37.50613336067611,127.03442871457682,도로,0
411,11680,87,1,논현로105길,4166109,37.50595648287354,127.03385203100706,도로,60
412,11680,87,2,논현로105길,4166109,37.50587726548172,127.03359373855216,도로,80
413,11680,87,3,논현로105길,4166109,37.50586957592414,127.03334219499378,도로,60
414,11680,87,4,논현로105길,4166109,37.50585177446556,127.03275992744095,도로,60
415,11680,87,5,논현로105길,4166109,37.505822676703744,127.03180872024478,도로,0
416,11680,87,6,논현로105길,4166109,37.505486525377094,127.03069116368653,도로,40
417,11680,87,7,논현로105길,4166109,37.50516992667892,127.0296386436417,도로,40
418,11680,87,8,논현로105길,4166109,37.50482611111245,127.02849569111186,도로,20
419,11680,87,9,논현로105길,4166109,37.50480921219164,127.02843953288942,도로,0
420,11680,87,10,논현로105길,4166109,37.504447558153494,127.02723733453651,도로,80
421,11680,87,11,논현로105길,4166109,37.50431365778661,127.02679224765043,도로,40
422,11680,88,0,논현로101길,4166106,37.50473771998506,127.03508324355184,도로,20
423,11680,88,1,논현로101길,4166106,37.504486991023896,127.03424562543779,도로,100
424,11680,88,2,논현로101길,4166106,37.50443078627367,127.03414969601893,도로,100
425,11680,88,3,논현로101길,4166106,37.504153390680045,127.03367625024195,도로,60
426,11680,88,4,논현로101길,4166106,37.504025850386704,127.03345856726784,도로,60
427,11680,89,0,논현로97길,4166208,37.50347024176321,127.03567748236748,도로,0
428,11680,89,1,논현로97길,4166208,37.50322118401261,127.03483913075495,도로,20
429,11680,89,2,논현로97길,4166208,37.50310668512015,127.03445371415907,도로,40
430,11680,89,3,논현로97길,4166208,37.5029829672899,127.03403727327336,도로,80
431,11680,89,4,논현로97길,4166208,37.50286382987007,127.03363628422913,도로,60
432,11680,89,5,논현로97길,4166208,37.50282074743285,127.0334912579878,도로,80
433,11680,89,6,논현로97길,4166208,37.502705668008616,127.03310392268575,도로,80
434,11680,89,7,논현로97길,4166208,37.50252391671892,127.03201391708308,도로,100
435,11680,89,8,논현로97길,4166208,37.5023519387636,127.03143206668457,도로,20
436,11680,89,9,논현로97길,4166208,37.50240489692476,127.03140643847284,도로,20
437,11680,89,10,논현로97길,4166208,37.50218033305641,127.03068158763477,도로,40
438,11680,89,11,논현로97길,4166208,37.5027894506676,127.03028688149999,도로,20
439,11680,89,12,논현로97길,4166208,37.50295609840562,127.03043819623356,도로,60
440,11680,90,0,논현로87길,4166203,37.499783506397954,127.03593535198596,도로,20
441,11680,90,1,논현로87길,4166203,37.49965940386486,127.0355273293939,도로,60
442,11680,90,2,논현로87길,4166203,37.49949836641357,127.03499788038552,도로,100
443,11680,90,3,논현로87길,4166203,37.49927234287618,127.03425478261325,도로,80
444,11680,90,4,논현로87길,4166203,37.499097994861394,127.03368160247786,도로,40
445,11680,90,5,논현로87길,4166203,37.498917054537145,127.03308676605654,도로,40
446,11680,91,0,논현로85길,4166201,37.499361668059024,127.03762479094614,도로,20
447,11680,91,1,논현로85길,4166201,37.49916140281147,127.03691099971772,도로,60
448,11680,91,2,논현로85길,4166201,37.499085637318586,127.03664096797992,도로,40
449,11680,91,3,논현로85길,4166201,37.4992888916781,127.03619012626456,도로,40
450,11680,91,4,논현로85길,4166201,37.49903982678446,127.03598066398588,도로,100
451,11680,91,5,논현로85길,4166201,37.49846558887523,127.0354977360843,도로,20
452,11680,91,6,논현로85길,4166201,37.49823996441624,127.0347562869666,도로,20
453,11680,91,7,논현로85길,4166201,37.49806315223977,127.03417524171455,도로,40
454,11680,91,8,논현로85길,4166201,37.49788080999217,127.03357604661274,도로,60
455,11680,91,9,논현로85길,4166201,37.497629112192115,127.03274897011046,도로,40
456,11680,91,10,논현로85길,4166201,37.49735167975781,127.031837369215,도로,60
457,11680,92,0,논현로79길,4166198,37.49785710959833,127.03832023198393,도로,0
458,11680,92,1,논현로79길,4166198,37.497692697885604,127.03778742944573,도로,60
459,11680,92,2,논현로79길,4166198,37.49755653435972,127.03679071143006,도로,60
460,11680,92,3,논현로79길,4166198,37.49748757735145,127.0362859697294,도로,60
461,11680,92,4,논현로79길,4166198,37.4974468674261,127.03598800620165,도로,60
462,11680,92,5,논현로79길,4166198,37.49739097097749,127.0355788737525,도로,20
463,11680,92,6,논현로79길,4166198,37.497374103758666,127.0354554340976,도로,60
464,11680,92,7,논현로79길,4166198,37.49733841785113,127.03519422624777,도로,80
465,11680,92,8,논현로79길,4166198,37.49715378034102,127.03511602462684,도로,80
466,11680,92,9,논현로79길,4166198,37.49703699787667,127.03506655449814,도로,80
467,11680,92,10,논현로79길,4166198,37.496795784308645,127.03496438840156,도로,100
468,11680,92,11,논현로79길,4166198,37.496374905813134,127.03478611722328,도로,40
469,11680,92,12,논현로79길,4166198,37.49624322084284,127.03434924165896,도로,60
470,11680,92,13,논현로79길,4166198,37.496035801802016,127.03366113295492,도로,60
471,11680,92,14,논현로79길,4166198,37.49599478021371,127.03352503169896,도로,60
472,11680,92,15,논현로79길,4166198,37.49571976855743,127.03261270246384,도로,40
473,11680,93,0,논현로75길,4166195,37.49671178816369,127.03886053816537,도로,0
474,11680,93,1,논현로75길,4166195,37.49655554968771,127.03833168189959,도로,20
475,11680,93,2,논현로75길,4166195,37.496389939172566,127.03777111475742,도로,20
476,11680,93,3,논현로75길,4166195,37.496214749154575,127.0371781133292,도로,40
477,11680,93,4,논현로75길,4166195,37.49643954259171,127.03632169314264,도로,60
478,11680,93,5,논현로75길,4166195,37.49662013264678,127.03563261154535,도로,60
479,11680,93,6,논현로75길,4166195,37.496795784308645,127.03496438840156,도로,100
480,11680,94,0,논현로71길,4166192,37.49517733868677,127.03957439222867,도로,0
481,11680,94,1,논현로71길,4166192,37.49502467262764,127.03906978038715,도로,40
482,11680,94,2,논현로71길,4166192,37.49492249802231,127.03873208054337,도로,60
483,11680,94,3,논현로71길,4166192,37.494817451003705,127.0383855938225,도로,60
484,11680,94,4,논현로71길,4166192,37.4947237979968,127.03807669035123,도로,60
485,11680,94,5,논현로71길,4166192,37.494579766102866,127.03760162539228,도로,100
486,11680,94,6,논현로71길,4166192,37.49454474343916,127.03748609683856,도로,80
487,11680,94,7,논현로71길,4166192,37.494400556141116,127.03701054782871,도로,40
488,11680,94,8,논현로71길,4166192,37.49434872781381,127.03683961392052,도로,80
489,11680,94,9,논현로71길,4166192,37.4942553497905,127.03653164169386,도로,140
490,11680,94,10,논현로71길,4166192,37.494187732583754,127.03630862780204,도로,120
491,11680,94,11,논현로71길,4166192,37.49407866384345,127.0359489043798,도로,60
492,11680,94,12,논현로71길,4166192,37.49393251702392,127.03546692616518,도로,80
493,11680,95,0,논현로67길,4166188,37.49440488447542,127.03993719146587,도로,20
494,11680,95,1,논현로67길,4166188,37.494166848957036,127.03915478276207,도로,40
495,11680,95,2,논현로67길,4166188,37.494131968972376,127.03910537198013,도로,60
496,11680,95,3,논현로67길,4166188,37.494109670269395,127.03907377761223,도로,80
497,11680,95,4,논현로67길,4166188,37.49402040218876,127.03877987274143,도로,100
498,11680,95,5,논현로67길,4166188,37.49390149394298,127.03838841158085,도로,60
499,11680,95,6,논현로67길,4166188,37.4938295147137,127.03815145224785,도로,80
500,11680,95,7,논현로67길,4166188,37.493743214622754,127.03786733236643,도로,40
501,11680,95,8,논현로67길,4166188,37.49365887604787,127.03758969351657,도로,40
502,11680,95,9,논현로67길,4166188,37.49364369143846,127.03753969393685,도로,60
503,11680,95,10,논현로67길,4166188,37.49353304204185,127.0371754474259,도로,80
504,11680,95,11,논현로67길,4166188,37.49338675593405,127.03669386603987,도로,80
505,11680,95,12,논현로67길,4166188,37.493299966264146,127.03640814356814,도로,60
506,11680,95,13,논현로67길,4166188,37.49313018342181,127.03584924273292,도로,80
507,11680,95,14,논현로67길,4166188,37.492877763590826,127.03501833210592,도로,60
508,11680,95,15,논현로67길,4166188,37.492823267792176,127.03483894363377,도로,60
509,11680,95,16,논현로67길,4166188,37.49259952969837,127.03410247197685,도로,0
510,11680,96,0,논현로65길,4166186,37.49337771839472,127.03946151987488,도로,60
511,11680,96,1,논현로65길,4166186,37.49316039149165,127.03874326040962,도로,80
512,11680,96,2,논현로65길,4166186,37.492973167863475,127.03812451718169,도로,80
513,11680,96,3,논현로65길,4166186,37.49290420366268,127.03789658612145,도로,40
514,11680,96,4,논현로65길,4166186,37.492647802719496,127.03704926166435,도로,60
515,11680,96,5,논현로65길,4166186,37.49239122466821,127.03620135491522,도로,20
516,11680,97,0,논현로63길,4166184,37.49349979814516,127.04036624673937,도로,20
517,11680,97,1,논현로63길,4166184,37.49324700854296,127.03952323985321,도로,60
518,11680,97,2,논현로63길,4166184,37.49242110818452,127.03909722114105,도로,100
519,11680,97,3,논현로63길,4166184,37.492166048399184,127.03825282738916,도로,60
520,11680,97,4,논현로63길,4166184,37.49195407001742,127.03755107216023,도로,80
521,11680,97,5,논현로63길,4166184,37.491909713433145,127.03740423232232,도로,60
522,11680,97,6,논현로63길,4166184,37.49165266127238,127.0365532681206,도로,80
523,11680,97,7,논현로63길,4166184,37.49140350616436,127.03572851299737,도로,60
524,11680,97,8,논현로63길,4166184,37.491125999274274,127.03480992083162,도로,40
525,11680,122,0,논현로106길,4166110,37.50613336067611,127.03442871457682,도로,0
526,11680,122,1,논현로106길,4166110,37.506282440340826,127.03494013080284,도로,40
527,11680,122,2,논현로106길,4166110,37.50638226354555,127.03528279537451,도로,40
528,11680,122,3,논현로106길,4166110,37.50621556561488,127.03536091630674,도로,80
529,11680,122,4,논현로106길,4166110,37.50632367018107,127.03572637420368,도로,40
530,11680,122,5,논현로106길,4166110,37.50642329460108,127.03606317011206,도로,80
531,11680,122,6,논현로106길,4166110,37.50652688749658,127.0364133822491,도로,60
532,11680,122,7,논현로106길,4166110,37.50662605090695,127.03674863031408,도로,60
533,11680,122,8,논현로106길,4166110,37.50675522204161,127.03718532058474,도로,80
534,11680,122,9,논현로106길,4166110,37.506963714215324,127.03789018614964,도로,100
535,11680,122,10,논현로106길,4166110,37.50706344946271,127.03822737239942,도로,80
536,11680,122,11,논현로106길,4166110,37.507174506295506,127.03860280408873,도로,80
537,11680,122,12,논현로106길,4166110,37.507276579593075,127.03894789906843,도로,40
538,11680,123,0,논현로102길,4166107,37.50473771998506,127.03508324355184,도로,20
539,11680,123,1,논현로102길,4166107,37.50499006061279,127.03593520860784,도로,60
540,11680,123,2,논현로102길,4166107,37.50510237604377,127.03631442714236,도로,80
541,11680,123,3,논현로102길,4166107,37.50516212469172,127.03651616245456,도로,80
542,11680,123,4,논현로102길,4166107,37.50528090292831,127.0366689662565,도로,60
543,11680,123,5,논현로102길,4166107,37.50535707112317,127.03676695508852,도로,80
544,11680,123,6,논현로102길,4166107,37.50544802506163,127.03707360359192,도로,40
545,11680,123,7,논현로102길,4166107,37.505574369143616,127.037499609835,도로,40
546,11680,123,8,논현로102길,4166107,37.505702916847035,127.03793302645686,도로,120
547,11680,123,9,논현로102길,4166107,37.50584425371265,127.03840624986557,도로,100
548,11680,123,10,논현로102길,4166107,37.50588274907336,127.03853513217979,도로,140
549,11680,123,11,논현로102길,4166107,37.50595001885629,127.03876036548124,도로,120
550,11680,123,12,논현로102길,4166107,37.50599126795904,127.03889848961666,도로,80
551,11680,123,13,논현로102길,4166107,37.506185054687684,127.0395473504546,도로,40
552,11680,123,14,논현로102길,4166107,37.506292292429286,127.03990642374364,도로,40
553,11680,124,0,논현로98길,4166209,37.50347024176321,127.03567748236748,도로,0
554,11680,124,1,논현로98길,4166209,37.50360114570362,127.03611807757562,도로,40
555,11680,124,2,논현로98길,4166209,37.50372318200557,127.03652885851614,도로,60
556,11680,124,3,논현로98길,4166209,37.50389737693947,127.03711522214785,도로,80
557,11680,124,4,논현로98길,4166209,37.50410072219227,127.03779970107384,도로,60
558,11680,124,5,논현로98길,4166209,37.50410309106663,127.03780214506972,도로,60
559,11680,124,6,논현로98길,4166209,37.50463430307936,127.03835020373646,도로,100
560,11680,125,0,논현로94길,4166206,37.50214981092,127.03629447590086,도로,40
561,11680,125,1,논현로94길,4166206,37.502426950486814,127.0371362490909,도로,40
562,11680,125,2,논현로94길,4166206,37.50261932521615,127.03772057710435,도로,80
563,11680,125,3,논현로94길,4166206,37.50284253599752,127.03839872256736,도로,60
564,11680,125,4,논현로94길,4166206,37.50295748393231,127.03874795423752,도로,80
565,11680,125,5,논현로94길,4166206,37.503071071634274,127.03909306969936,도로,60
566,11680,126,0,논현로86길,4166202,37.499361668059024,127.03762479094614,도로,20
567,11680,126,1,논현로86길,4166202,37.49966380868197,127.03855712239599,도로,0
568,11680,126,2,논현로86길,4166202,37.5000720953156,127.03893182896047,도로,20
569,11680,126,3,논현로86길,4166202,37.5001201586406,127.03897590105991,도로,20
570,11680,126,4,논현로86길,4166202,37.50025727215908,127.0394011845188,도로,0
571,11680,126,5,논현로86길,4166202,37.500413340079724,127.03988530828128,도로,0
572,11680,126,6,논현로86길,4166202,37.50057179123577,127.0403767974237,도로,40
573,11680,127,0,논현로80길,4166199,37.49785710959833,127.03832023198393,도로,0
574,11680,127,1,논현로80길,4166199,37.49814115521416,127.03927306350955,도로,40
575,11680,127,2,논현로80길,4166199,37.49828940771801,127.03977059267844,도로,20
576,11680,127,3,논현로80길,4166199,37.49843496708768,127.0402591207498,도로,0
577,11680,127,4,논현로80길,4166199,37.498580281621045,127.04074627093307,도로,20
578,11680,127,5,논현로80길,4166199,37.49872854599496,127.04124360237628,도로,40
579,11680,128,0,논현로76길,4166196,37.49671178816369,127.03886053816537,도로,0
580,11680,128,1,논현로76길,4166196,37.496996605043314,127.03981119766756,도로,20
581,11680,128,2,논현로76길,4166196,37.49716869097925,127.04015831903307,도로,0
582,11680,128,3,논현로76길,4166196,37.497448562531865,127.0407228923442,도로,20
583,11680,128,4,논현로76길,4166196,37.49767172490662,127.04117306543723,도로,0
584,11680,128,5,논현로76길,4166196,37.497899864666536,127.04163329717493,도로,40
585,11680,129,0,논현로72길,4166193,37.49517733868677,127.03957439222867,도로,0
586,11680,129,1,논현로72길,4166193,37.49556793379046,127.04036842617629,도로,20
587,11680,129,2,논현로72길,4166193,37.495771269819286,127.04078180216177,도로,40
588,11680,129,3,논현로72길,4166193,37.49603796439232,127.04132396989763,도로,40
589,11680,129,4,논현로72길,4166193,37.49651141762036,127.04228650470402,도로,20
590,11680,130,0,논현로70길,4166191,37.49526075398784,127.04051145091664,도로,20
591,11680,130,1,논현로70길,4166191,37.49550198107615,127.04131451447931,도로,20
592,11680,130,2,논현로70길,4166191,37.49557060510053,127.04154297657206,도로,20
593,11680,130,3,논현로70길,4166191,37.495729316152776,127.04207134765907,도로,0
594,11680,130,4,논현로70길,4166191,37.4958828140703,127.04258240519695,도로,40
595,11680,131,0,논현로68길,4166189,37.49440488447542,127.03993719146587,도로,20
596,11680,131,1,논현로68길,4166189,37.494659298120325,127.04079151036957,도로,40
597,11680,131,2,논현로68길,4166189,37.49479934537673,127.04126181913792,도로,0
598,11680,131,3,논현로68길,4166189,37.49496616485534,127.04182203218964,도로,0
599,11680,131,4,논현로68길,4166189,37.4950677978026,127.04216332081889,도로,0
600,11680,131,5,논현로68길,4166189,37.4951289948788,127.04236884541876,도로,20
601,11680,131,6,논현로68길,4166189,37.49516915077753,127.04250367164394,도로,20
602,11680,131,7,논현로68길,4166189,37.49527744131522,127.04286734463257,도로,0
