,ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,COORDS
169,20101018,언주로 시점에서 69번째 분기된 도로,16,Eonju-ro 69-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 779-3,1,879,역삼동 777-17,언주로69길,4166610,4.0,72.0,4,11680,3,"[(127.04347642647622, 37.496149916533945), (127.04376108778224, 37.495543604711756)]"
170,20101018,언주로 시점에서 69번째 분기된 도로,16,Eonju-ro 69-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 779-3,1,880,역삼동 777-17,언주로69길,4166610,4.0,72.0,4,11680,3,"[(127.04311420718524, 37.49604169945647), (127.04340005875646, 37.495436081842904)]"
171,20101018,논현로 시점에서 64번째 분기된 도로,16,Nonhyeon-ro 64-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225532,역삼동 776-12,1,881,역삼동 787-8,논현로64길,4166185,4.0,78.0,4,11680,3,"[(127.04309880759881, 37.49392453629886), (127.04293664082746, 37.49427372160426), (127.04279349278403, 37.49458195860445)]"
172,20101018,언주로 시점에서 70번째 분기된 도로,16,Eonju-ro 70-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 761,1,882,역삼동 758-2,언주로70길,4166612,6.0,125.0,4,11680,3,"[(127.04715511221188, 37.49727939685005), (127.04756639755189, 37.49648203318486), (127.04725399083004, 37.49638514395184)]"
173,20101018,선릉로 시점에서 69번째 분기된 도로,15,Seolleung-ro 69-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225535,역삼동 756-13,1,884,역삼동 758-2,선릉로69길,4166489,4.0,142.0,4,11680,3,"[(127.05124437630012, 37.498627947466154), (127.05165877422031, 37.49773644106919), (127.05127587032008, 37.497621446273236)]"
174,20101018,선릉로 시점에서 69번째 분기된 도로,15,Seolleung-ro 69-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225535,역삼동 756-13,1,885,역삼동 758-2,선릉로69길,4166489,6.0,141.0,4,11680,3,"[(127.0508660743314, 37.49850067781827), (127.05127587032008, 37.497621446273236), (127.05142155341736, 37.49730886428618)]"
175,20101018,논현로 시점에서 102번째 분기된 도로,16,Nonhyeon-ro 102-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 659-9,1,892,역삼동 663-17,논현로102길,4166107,4.0,73.0,4,11680,3,"[(127.03631442714237, 37.505102376043766), (127.03602325880617, 37.5057130947547)]"
176,20101018,논현로 시점에서 102번째 분기된 도로,16,Nonhyeon-ro 102-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 659-9,1,893,역삼동 663-17,논현로102길,4166107,4.0,65.0,4,11680,3,"[(127.0366689662565, 37.50528090292831), (127.03641081772213, 37.50582821853846)]"
177,20101018,논현로 시점에서 102번째 분기된 도로,16,Nonhyeon-ro 102-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 659-9,1,894,역삼동 663-17,논현로102길,4166107,4.0,60.0,4,11680,3,"[(127.03707360359192, 37.50544802506163), (127.03683026452306, 37.50595281902742)]"
178,20101018,논현로 시점에서 102번째 분기된 도로,16,Nonhyeon-ro 102-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 659-9,1,895,역삼동 663-17,논현로102길,4166107,4.0,60.0,4,11680,3,"[(127.037499609835, 37.50557436914362), (127.03725929345804, 37.50608025326842)]"
