ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
"20101018","테헤란로 시점에서 88번째 분기된 도로","17","Teheran-ro 88-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 944","0",563,"대치동 954-2","테헤란로88길","4166766",12.000,241.000,"4","11680","3"
"20101018","테헤란로 시점에서 92번째 분기된 도로","16","Teheran-ro 92-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 945","0",564,"대치동 951","테헤란로92길","4166768",8.000,396.000,"4","11680","3"
"20101018","테헤란로 시점에서 98번째 분기된 도로","17","Teheran-ro 98-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 946","0",565,"대치동 948-9","테헤란로98길","4166769",12.000,275.000,"4","11680","3"
"20101018","테헤란로 시점에서 104번째 분기된 도로","17","Teheran-ro 104-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 996","0",566,"대치동 1001-18","테헤란로104길","4166711",12.000,260.000,"4","11680","3"
"20101018","테헤란로 시점에서 108번째 분기된 도로","16","Teheran-ro 108-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 997","0",567,"대치동 1004-8","테헤란로108길","4166713",8.000,357.000,"4","11680","3"
"20101018","테헤란로 시점에서 114번째 분기된 도로","16","Teheran-ro 114-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 997-4","0",568,"대치동 1004","테헤란로114길","4166716",15.000,346.000,"4","11680","3"
"20101018","역삼로 시점에서 1번째 분기된 도로","16","Yeoksam-ro 1-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 831-12","0",569,"역삼동 831-24","역삼로1길","4166638",4.000,196.000,"4","11680","3"
"20101018","역삼로 시점에서 3번째 분기된 도로","16","Yeoksam-ro 3-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 831-43","0",570,"역삼동 830","역삼로3길","4166648",10.000,196.000,"4","11680","3"
"20101018","역삼로 시점에서 5번째 분기된 도로","16","Yeoksam-ro 5-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 830-67","0",571,"역삼동 827-24","역삼로5길","4166651",4.000,196.000,"4","11680","3"
"20101018","역삼로 시점에서 7번째 분기된 도로","16","Yeoksam-ro 7-gil","20141030","직권수정(속성변경)","99","20101203","20190426160616","역삼동 830-71","0",572,"역삼동 829","역삼로7길","4166663",11.000,196.000,"4","11680","3"
"20101018","역삼로 시점에서 9번째 분기된 도로","16","Yeoksam-ro 9-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","역삼동 752-52","0",573,"역삼동 742-22","역삼로9길","4166675",6.000,232.000,"4","11680","3"
"20101018","역삼로 시점에서 17번째 분기된 도로","15","Yeoksam-ro 17-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 751-10","0",574,"역삼동 738-1","역삼로17길","4166635",6.000,508.000,"4","11680","3"
"20101018","역삼로 시점에서 19번째 분기된 도로","15","Yeoksam-ro 19-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 748-31","0",575,"역삼동 746-28","역삼로19길","4166637",8.000,298.000,"4","11680","3"
"20101018","역삼로 시점에서 25번째 분기된 도로","16","Yeoksam-ro 25-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 734-23","0",576,"역삼동 725","역삼로25길","4166641",6.000,400.000,"4","11680","3"
"20101018","역삼로 시점에서 33번째 분기된 도로","16","Yeoksam-ro 33-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 733-19","0",577,"역삼동 728-45","역삼로33길","4166644",6.000,183.000,"4","11680","3"
"20101018","역삼로 시점에서 37번째 분기된 도로","16","Yeoksam-ro 37-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 732-18","0",578,"역삼동 729-6","역삼로37길","4166646",6.000,155.000,"4","11680","3"
"20101018","역삼로 시점에서 63번째 분기된 도로","15","Yeoksam-ro 63-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 907-18","0",579,"역삼동 900","역삼로63길","4166652",8.000,207.000,"4","11680","3"
"20101018","역삼로 시점에서 67번째 분기된 도로","15","Yeoksam-ro 67-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 906-20","0",580,"대치동 896-18","역삼로67길","4166655",6.000,283.000,"4","11680","3"
"20101018","역삼로 시점에서 69번째 분기된 도로","16","Yeoksam-ro 69-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 906-18","0",581,"대치동 895-9","역삼로69길","4166656",6.000,232.000,"4","11680","3"
