,LAT,LNG,RDS_MAN_NO,RDS_MAN_NO2,RN,RN_CD,ROAD_BT,ROAD_LT,SIG_CD
156,37.49804342315118,127.02792916785181,13,1,테헤란로,3122010,50.0,3898.0,11680
157,37.498063942182675,127.02799500231237,13,2,테헤란로,3122010,50.0,3898.0,11680
158,37.498187001374845,127.02839073356266,13,3,테헤란로,3122010,50.0,3898.0,11680
159,37.498274712032796,127.02867352547835,13,4,테헤란로,3122010,50.0,3898.0,11680
160,37.49827948396252,127.02868816054861,13,5,테헤란로,3122010,50.0,3898.0,11680
161,37.498506257599566,127.02941748067983,13,6,테헤란로,3122010,50.0,3898.0,11680
162,37.49865259380518,127.02988845063315,13,7,테헤란로,3122010,50.0,3898.0,11680
163,37.498753841442536,127.0302143033813,13,8,테헤란로,3122010,50.0,3898.0,11680
164,37.49901295246675,127.03104807016062,13,9,테헤란로,3122010,50.0,3898.0,11680
165,37.49929571636471,127.03195753052587,13,10,테헤란로,3122010,50.0,3898.0,11680
166,37.49955338379547,127.03278629894933,13,11,테헤란로,3122010,50.0,3898.0,11680
167,37.49967463790442,127.03316715143968,13,12,테헤란로,3122010,50.0,3898.0,11680
168,37.49973962652974,127.03336984442554,13,13,테헤란로,3122010,50.0,3898.0,11680
169,37.499758189435624,127.03342797971509,13,14,테헤란로,3122010,50.0,3898.0,11680
170,37.49991545385399,127.03394237346762,13,15,테헤란로,3122010,50.0,3898.0,11680
171,37.50015291264644,127.03471882034773,13,16,테헤란로,3122010,50.0,3898.0,11680
172,37.50042404095458,127.03560541379929,13,17,테헤란로,3122010,50.0,3898.0,11680
173,37.500821224228766,127.03690577806633,13,18,테헤란로,3122010,50.0,3898.0,11680
174,37.500905887008756,127.03718889376513,13,19,테헤란로,3122010,50.0,3898.0,11680
175,37.50125205354807,127.03838344194928,13,20,테헤란로,3122010,50.0,3898.0,11680
176,37.50125747150503,127.03840213860313,13,21,테헤란로,3122010,50.0,3898.0,11680
177,37.50131120130586,127.0385357477397,13,22,테헤란로,3122010,50.0,3898.0,11680
178,37.50131457655869,127.03854688883813,13,23,테헤란로,3122010,50.0,3898.0,11680
179,37.50137253208181,127.0387370908953,13,24,테헤란로,3122010,50.0,3898.0,11680
180,37.50138433204284,127.03877557023809,13,25,테헤란로,3122010,50.0,3898.0,11680
181,37.50143071260484,127.03892711241339,13,26,테헤란로,3122010,50.0,3898.0,11680
182,37.501487840150716,127.03911242911495,13,27,테헤란로,3122010,50.0,3898.0,11680
183,37.501494153620584,127.03913315694253,13,28,테헤란로,3122010,50.0,3898.0,11680
184,37.50152652938896,127.03923945045369,13,29,테헤란로,3122010,50.0,3898.0,11680
185,37.50160489172923,127.03949782317201,13,30,테헤란로,3122010,50.0,3898.0,11680
186,37.50169766868543,127.03980132794024,13,31,테헤란로,3122010,50.0,3898.0,11680
187,37.50189510932477,127.04044816543164,13,32,테헤란로,3122010,50.0,3898.0,11680
188,37.501938706599354,127.04059079660274,13,33,테헤란로,3122010,50.0,3898.0,11680
189,37.50195474489723,127.0406436526866,13,34,테헤란로,3122010,50.0,3898.0,11680
190,37.50202064277768,127.04083823531397,13,35,테헤란로,3122010,50.0,3898.0,11680
191,37.5020847330624,127.04102748172855,13,36,테헤란로,3122010,50.0,3898.0,11680
192,37.502133075869054,127.0411680172411,13,37,테헤란로,3122010,50.0,3898.0,11680
193,37.5021381337235,127.04118516465125,13,38,테헤란로,3122010,50.0,3898.0,11680
194,37.50216878744534,127.04128713327792,13,39,테헤란로,3122010,50.0,3898.0,11680
195,37.50217497935176,127.04130780977573,13,40,테헤란로,3122010,50.0,3898.0,11680
196,37.50226610469657,127.04160578800229,13,41,테헤란로,3122010,50.0,3898.0,11680
197,37.502324883549505,127.04179790653676,13,42,테헤란로,3122010,50.0,3898.0,11680
198,37.50238338272174,127.04199019485984,13,43,테헤란로,3122010,50.0,3898.0,11680
