,명칭,분류,위도,경도,밝기
73,역삼로,도로,37.501994732114035,127.05526527736116,0
74,역삼로,도로,37.50221199991229,127.0559321445345,0
75,역삼로,도로,37.50221334950272,127.0559362846822,0
76,역삼로,도로,37.50245656455968,127.05667545215591,0
77,역삼로,도로,37.50262019109481,127.05718290612141,0
78,역삼로,도로,37.50262051498512,127.05718390157713,0
79,역삼로,도로,37.502633785422724,127.05722481704564,0
80,역삼로,도로,37.502760677143286,127.05761591855713,0
81,역삼로,도로,37.502770447686295,127.05764601987978,0
82,역삼로,도로,37.5027734166267,127.05765518262508,0
83,역삼로,도로,37.50285803680797,127.05792329901242,0
84,역삼로,도로,37.50288784545777,127.05800998463816,0
85,역삼로,도로,37.50291980149163,127.05810906695642,0
86,역삼로,도로,37.5029437738877,127.05819085138322,0
87,역삼로,도로,37.50303124971621,127.05845751224936,0
88,역삼로,도로,37.503091959592155,127.05864286181334,0
89,역삼로,도로,37.50309232844893,127.0586440043372,0
90,역삼로,도로,37.50325669757029,127.0591448288749,0
91,역삼로,도로,37.50329466341125,127.05926008918415,0
92,역삼로,도로,37.50331153171943,127.05931204610417,0
93,역삼로,도로,37.503326365516145,127.05936039378858,0
94,역삼로,도로,37.50333907926653,127.05939582455177,0
95,역삼로,도로,37.50334948830915,127.05942746490642,0
96,역삼로,도로,37.50336663584726,127.05947943342726,0
97,역삼로,도로,37.503373401089036,127.05950034969659,0
98,역삼로,도로,37.50340430403707,127.05959468253486,0
99,역삼로,도로,37.5034076777411,127.05960493144904,0
100,역삼로,도로,37.50343359430176,127.05968865229931,0
101,역삼로,도로,37.5034404659294,127.05970968663436,0
102,역삼로,도로,37.5034578307117,127.05976284101617,0
103,역삼로,도로,37.50347475689407,127.05981465291813,0
104,역삼로,도로,37.50351423194781,127.05992944672865,0
105,역삼로,도로,37.503517587709,127.05993948078036,0
106,역삼로,도로,37.50353109995513,127.05998141526042,0
107,역삼로,도로,37.503552265531454,127.06005191197457,0
108,역삼로,도로,37.503566987982005,127.06009698022464,0
109,역삼로,도로,37.503584068283466,127.06014926639764,0
110,역삼로,도로,37.503621917867996,127.0602651317824,0
111,역삼로,도로,37.5036388744409,127.06031703950049,0
112,역삼로,도로,37.503676630661246,127.06043261975049,0
113,역삼로,도로,37.503693943116076,127.06048561720868,0
114,역삼로,도로,37.50373115706964,127.06059953812156,0
115,역삼로,도로,37.50374836022589,127.06065220129595,0
116,역삼로,도로,37.50375340399361,127.0606676415518,0
117,역삼로,도로,37.50376532824263,127.06070414505821,0
118,역삼로,도로,37.50378582849267,127.06076690224302,0
119,역삼로,도로,37.50380319280783,127.06082005953249,0
120,역삼로,도로,37.50381983157696,127.06087099580354,0
121,역삼로,도로,37.50384074862482,127.06093502929886,0
122,역삼로,도로,37.50385772696285,127.06098700530072,0
123,역삼로,도로,37.50387490604377,127.0610395959346,0
124,역삼로,도로,37.503895249809815,127.06110187480095,0
125,역삼로,도로,37.503912200009395,127.06115376496264,0
126,역삼로,도로,37.50392281013446,127.06118624610858,0
127,역삼로,도로,37.50392950840429,127.061206751717,0
128,역삼로,도로,37.5039738867096,127.06133076521375,0
129,역삼로,도로,37.504001153591744,127.0614143865858,0
130,역삼로,도로,37.504049228633505,127.06156073572949,0
131,역삼로,도로,37.504069766485216,127.06162353111523,0
132,역삼로,도로,37.50412457002757,127.06179086503971,0
133,역삼로,도로,37.504152124896564,127.0618744982884,0
134,역삼로,도로,37.50420019027547,127.0620210063468,0
135,역삼로,도로,37.50422998467149,127.06211203799164,0
136,역삼로,도로,37.50423449178306,127.0621254660196,0
137,역삼로,도로,37.504275530857456,127.06225096693925,0
138,역삼로,도로,37.50430561339494,127.0623419990006,0
139,역삼로,도로,37.504316849118986,127.06237644560379,0
140,역삼로,도로,37.50435115020628,127.06248110917277,0
141,역삼로,도로,37.50437573772295,127.06256042555978,0
142,역삼로,도로,37.50439221095637,127.06261733399934,0
143,역삼로,도로,37.50440315512422,127.06265677719568,0
144,역삼로,도로,37.50442086374525,127.06271266069092,0
145,역삼로,도로,37.50445121877321,127.062804745175,0
146,역삼로,도로,37.50445543739266,127.06281835400104,0
147,역삼로,도로,37.50449506971389,127.06294473666165,0
148,역삼로,도로,37.504514750727,127.06300782614528,0
149,역삼로,도로,37.504523745882175,127.06303629966268,0
150,역삼로,도로,37.50483160527662,127.06396849703363,0
151,역삼로,도로,37.50522090018081,127.06514894999832,0
152,역삼로,도로,37.50566307456634,127.06648844170374,0
153,역삼로,도로,37.505882595442024,127.06715346463017,0
154,역삼로,도로,37.50593800350918,127.06732133872956,0
155,테헤란로,도로,37.497957606705725,127.02762873698151,15
156,테헤란로,도로,37.49804342315118,127.0279291678518,30
157,테헤란로,도로,37.49806394218268,127.02799500231235,30
158,테헤란로,도로,37.49818700137485,127.02839073356266,45
159,테헤란로,도로,37.498274712032796,127.02867352547837,30
160,테헤란로,도로,37.49827948396252,127.0286881605486,30
